Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
366112,B001EO7LVM,AVPE5IDEJN62L,ranulph,12,13,3,###############################################################################################################################################################################################################################################################,"taste great, but evidence of mice","When I got these nuts, after eating a few, I realized that the mice had gotten at quite a few of them, there were chew marks on many of the nuts and also some mouse droppings in the bag.  However, I did eat the nuts that weren't chewed, they tasted great!"
382574,B000ZII98W,A1KH5JOTGUPJD,LG,1,9,3,###############################################################################################################################################################################################################################################################,Sceptical,"I was sceptical about this product because it tastes like no other unsweetened cranberry juice I've ever tried. Its syrupy, sweeter than other cranberry juices and has a grape juice taste to it. I contacted Dynamic Health and they say its 100% cranberry juice. I still feel a bit sceptical though. I'm used to Tree of Life brand so I think I'll just go back to it."
8282,B000VK6NDC,A3229I7JSLZE7E,"Critical Thinker ""Critical Thinker""",1,2,2,###############################################################################################################################################################################################################################################################,It would be nice it they ate it,"I felt really good about being a good cat mommy and buying something of such quality for my sweeties... Too bad none of the would eat it, no matter what I did.<br /><br />Donated it to the local SPCA -- maybe a dog will eat it."
410609,B001KUOH26,A3L5N9HRKZOPU8,kim,0,1,1,###############################################################################################################################################################################################################################################################,CORROSIVE,This soda hurt my teeth. Drank one a day for 6 weeks. The Enamel on my teeth has eroded. My teeth are now still very sensitive. Read ingredients before drinking.  Consider battery  acid or this soda if your goal is to erode enamel!
535347,B000FDBRGI,A1ZPY91VE3IDN1,J. Offenbach,3,4,5,###############################################################################################################################################################################################################################################################,Delicious and Nutritious,"I bake bread weekly, much of the time it's rye or pumpernickel.  Well, these crackers will give my bread machine a well deserved break because they are fantastic!  I usually eat Dr. Kracker's or Ak Mak's, but now I have a new favorite.  The Ryvita is the perfect size for an open-faced snack or a crisp crackers encasing stuff sandwich.  I have had no problem with them falling apart but then I don't pile them with huge amounts of food; I simply use a thin spread like goat cheese, baba ganoush or hummus w/ veggies, cheese, salmon, or faux poultry products.  They are made of rye, salt and H20, nothing more, and they are not as rigid as Dr. Kracker's, but much stronger than Ak Mak's.  They are just right and Amazon offers them for a terrific price!  I'm hooked."
416932,B0038A8F0Q,A2GCG449D1B0E2,JGW,8,19,1,###############################################################################################################################################################################################################################################################,Diogenes Sleeps Deeply,"When my grandson was born, Diogenes was able to retire and seek the sleep he so deserved after searching so many centuries for an honest man. My grandson speaks his mind eloquently and succintly.  Upon the arrival of my order of <a href=""http://www.amazon.com/gp/product/B001LNHQ34"">Funfresh Foods Real Food Trading Company Himalayan Pink Sea Salt, 2-Pound</a>, I quietly served it at a family meal.  Almost instantly my grandson asked who put sand in the salt.  I smiled, chuckled and told him no one had put anything in the salt and that this was special pink salt from half way around the world.  ""It has sand in it, Grandpa! I don't like it!"" he replied.  Nay, nay, not so, I assured him (and everyone).  ""Let me show you.""<br /><br />I drew a small glass of filtered water and added a liberal amount of the pink salt.  (BTW, if you like the C.Cola bottled water, *asani, much of it comes from the same source in FL as my tap water)  So I swirled the pink salt around in the water.  Let me mention that I have a degree in science and a bunch, like a lot, of chemistry courses so I know that table salt, sodium chloride (NaCl) is really really soluble in water.  Well, after much stirring I got quite a bit of pink insoluble grains on the bottom of the glass and, most disturbing, the liquid was cloudy!  I've been watching it for a couple of hours now and nothing is settling out.  I'll keep watching, but what the cloudy water means is there is either a fine particulate that will settle out in time or there is something else in the ""salt"" that is not or not completely water soluble or is colloidal, which does not make me feel good about this product.<br /><br />It is my understanding that most table salt is produced by crystallizing the salt from a saline solution, either natural (sea water) or man made.  The difference between ""regular"" table salt (at least in the US) and Kosher salt is that regular salt is allowed to crystallize undisturbed and will form cubical crystals while Kosher salt must be raked during the entire crystallizing process, thus forming the light flaky crystals familiar to that form.<br /><br />This product, it appears to me, is a mined mineral that contains a high NaCl content that is not further refined.  It is finely ground perhaps in the hope that end users will not notice that it also contains rock, sand, or whatever makes up the Himalayas.  The product claims to contain less Sodium (Na) and that may well be true, but is that lower Sodium content because it has ground rocks/sand in it?<br /><br />I'm returning this because it is an inferior product that is not what it is advertised to be.  This might be fine for a live stock salt lick but it is not fit for human consumption!<br /><br />Many Hours Later:  The cloudiness is clearing, so my conclusion is that it was caused by very small particles that took longer to fall out of suspension.  Nevertheless, sediment is sediment and sediment is not salt!  This is another example of when a low price is not a bargain!"
238775,B000J2HRG4,A1Y39T2CT36YL0,Resips,1,1,2,###############################################################################################################################################################################################################################################################,It's like pouring a can of clam chowder on your spaghetti,I really wanted to like this sauce but the Bar Harbor white clam sauce just didn't do the job. There were not enough clams in the sauce and the flavor was rather flat. It really tasted as if I had poured a can of white clam chowder on the pasta and served it up. We won't be buying this sauce again.
426044,B000TQEWM2,A2TJG4N8LNJW23,Blythe Dresser,0,1,1,###############################################################################################################################################################################################################################################################,Am I drinking the same blend as the 5-star reviewers?,"I don't know how what I tried could be considered the same as what all the rave reviews are coming in for.<br /><br />When we got our new Keurig brewer for Christmas it came with a sample pack of 12 different coffees.  We were excited for the opportunity to try different blends before purchasing an entire (pricey) box of any one flavor.<br /><br />To preface: I enjoy flavored coffees.  French vanilla, mocha, hazelnut... Pretty much any variety available.  I was really excited to try Gloria Jean's Hazelnut since it was one of the few flavored options in the sample pack.  I typically enjoy smooth medium roasts and I can't stand bitter coffee with a pungent aftertaste.<br /><br />Unfortunately, though, this brew is without-a-doubt undrinkable.  So bitter and thick.  I couldn't believe this was supposed to be a flavored blend.  It smelled burnt as soon as it was brewed.  We brewed an 8 ounce cup since typically flavored coffees tend to be weaker so we assumed brewing the smaller size cup would allow us to enjoy to most flavor.  The coffee was dark in appearance and both my boyfriend and I tried it befor dumping it out in the sink because the taste was so foul.<br /><br />Aside from its burnt flavor and bitter aftertaste, it's also worth mentioning that I couldn't detect any hazelnut notes at all.  Very disappointing.<br /><br />I'd never tried a Gloria Jean brand coffee before and now I'm nervous to try another.  I might attempt the Butter Toffee flavor if I can find it in a small pack.  But I'll avoid hazelnut from now on."
412195,B00024DB5K,A174IDKIPEU6YX,"Nicole Kioa ""MissK""",0,0,2,###############################################################################################################################################################################################################################################################,Yuck,"I was so excited for this product and unfortunately, it's terrible. I tastes nothing like Italian dressing or even any kind of dressing."
186752,B00474CSVE,A1VGXHHR08G044,FlyingPolarBear,0,0,3,###############################################################################################################################################################################################################################################################,"Strong but flat, lacking definition","These k-cups are certainly bold and strong, but the finish is flat and thin.  It's lacking in overtones after the inital dark wave.  I just started exploring k-cups since my machine arrived last week.  Initially I was surprised how watery the house blends are.  I wanted something dark and rich in texture.  But so far, I'd rather drink Tully's French Roast extra bold k-cups which is just about as strong as Dark Magic but with a wider spectrum and better finish."
